"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.202824656E2,1.935983133E1,-9.905948984E1,2.236879382E3,2.229343018E3,1.620000005E0,1.000999985E2,6.874025237E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.212826616E2,1.935983397E1,-9.905947545E1,2.237009963E3,2.229473633E3,1.570000052E0,9.790000153E1,6.892982618E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.222828172E2,1.935984275E1,-9.905945996E1,2.238076808E3,2.230540527E3,1.820000052E0,7.450000000E1,6.909252028E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.232820452E2,1.935984080E1,-9.905944459E1,2.238098510E3,2.230562256E3,1.659999967E0,9.140000153E1,6.927426448E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.242827644E2,1.935983379E1,-9.905942894E1,2.238022323E3,2.230486084E3,1.620000005E0,1.046999969E2,6.945615743E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.252822803E2,1.935982731E1,-9.905941302E1,2.238329191E3,2.230792969E3,1.740000010E0,1.093000031E2,6.962819694E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.262828089E2,1.935982189E1,-9.905939766E1,2.237595774E3,2.230059570E3,1.629999995E0,1.055999985E2,6.979792615E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.272830428E2,1.935981690E1,-9.905938237E1,2.237766410E3,2.230230225E3,1.549999952E0,1.038000031E2,6.996531256E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.282826452E2,1.935981137E1,-9.905936753E1,2.237651891E3,2.230115723E3,1.620000005E0,1.054000015E2,7.014574610E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.292826499E2,1.935980679E1,-9.905935103E1,2.237585706E3,2.230049561E3,1.649999976E0,1.105000000E2,7.023478792E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.302826242E2,1.935980645E1,-9.905934255E1,2.236829343E3,2.229293213E3,7.300000191E-1,8.469999695E1,7.031080023E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.312821075E2,1.935980618E1,-9.905933531E1,2.236560774E3,2.229024658E3,5.699999928E-1,9.669999695E1,7.042197769E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.322820930E2,1.935980364E1,-9.905932506E1,2.236523895E3,2.228987793E3,9.700000286E-1,1.025000000E2,7.054889674E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.332828549E2,1.935980125E1,-9.905931323E1,2.236548535E3,2.229012451E3,1.110000014E0,1.024000015E2,7.067821205E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.342823599E2,1.935979745E1,-9.905930158E1,2.236782163E3,2.229246094E3,1.149999976E0,1.045000000E2,7.082962996E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.352821530E2,1.935979297E1,-9.905928795E1,2.236611248E3,2.229075195E3,1.370000005E0,1.064000015E2,7.099487044E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.362827761E2,1.935978871E1,-9.905927286E1,2.236747702E3,2.229211670E3,1.440000057E0,1.054000015E2,7.116551551E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.372823855E2,1.935978514E1,-9.905925704E1,2.236661009E3,2.229125000E3,1.470000029E0,1.020999985E2,7.132406033E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.382829090E2,1.935978230E1,-9.905924223E1,2.236639013E3,2.229103027E3,1.429999948E0,1.000999985E2,7.146894076E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.392822125E2,1.935977911E1,-9.905922884E1,2.236532793E3,2.228996826E3,1.330000043E0,1.040999985E2,7.158946377E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.402828163E2,1.935977628E1,-9.905921775E1,2.235906313E3,2.228370361E3,1.200000048E0,1.043000031E2,7.165681246E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.412828845E2,1.935977464E1,-9.905921157E1,2.235220513E3,2.227684570E3,7.599999905E-1,1.035999985E2,7.176203536E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.422821408E2,1.935977058E1,-9.905920251E1,2.235095504E3,2.227559570E3,1.129999995E0,1.085999985E2,7.187355279E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.432820045E2,1.935976674E1,-9.905919269E1,2.234952671E3,2.227416748E3,1.179999948E0,1.033000031E2,7.198548919E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.442826652E2,1.935976480E1,-9.905918222E1,2.234445331E3,2.226909424E3,1.080000043E0,1.010000000E2,7.210687837E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.452826307E2,1.935976351E1,-9.905917073E1,2.233790037E3,2.226254150E3,1.029999971E0,9.730000305E1,7.224021653E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.462824781E2,1.935976347E1,-9.905915802E1,2.233751682E3,2.226215820E3,1.240000010E0,8.659999847E1,7.242035946E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.472822790E2,1.935976060E1,-9.905914112E1,2.233487984E3,2.225952148E3,1.559999943E0,1.005000000E2,7.259270942E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.482827223E2,1.935975632E1,-9.905912533E1,2.233827562E3,2.226291748E3,1.519999981E0,1.019000015E2,7.276459992E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.492826410E2,1.935975434E1,-9.905910908E1,2.234848530E3,2.227312744E3,1.529999971E0,9.169999695E1,7.293363074E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.502828250E2,1.935975029E1,-9.905909355E1,2.235158323E3,2.227622559E3,1.580000043E0,1.010999985E2,7.314490024E-1,3.790092468E0,2.500000000E0,4.600000000E1
3.512820479E2,1.935974496E1,-9.905907422E1,2.234978365E3,2.227442627E3,1.769999981E0,1.051999969E2,7.333049453E-1,3.790092468E0,2.500000000E0,4.600000000E1
3.522824394E2,1.935973770E1,-9.905905829E1,2.235092120E3,2.227556396E3,1.649999976E0,1.204000015E2,7.352456214E-1,3.790092468E0,2.500000000E0,4.600000000E1
3.532821490E2,1.935973207E1,-9.905904078E1,2.235401180E3,2.227865479E3,1.659999967E0,1.074000015E2,7.369517508E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.542829189E2,1.935972711E1,-9.905902539E1,2.235436072E3,2.227900391E3,1.580000043E0,1.070000000E2,7.386724656E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.552824619E2,1.935972320E1,-9.905900952E1,2.235752212E3,2.228216553E3,1.590000033E0,1.020999985E2,7.400587543E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.562820870E2,1.935971832E1,-9.905899736E1,2.236110597E3,2.228574951E3,1.370000005E0,1.098000031E2,7.417062011E-1,3.790092468E0,2.500000000E0,4.300000000E1
3.572823631E2,1.935970979E1,-9.905898452E1,2.236675044E3,2.229139404E3,1.549999952E0,1.218000031E2,7.441797762E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.582825697E2,1.935968767E1,-9.905898202E1,2.237324015E3,2.229788330E3,2.309999943E0,1.720000000E2,7.459483224E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.592830303E2,1.935967178E1,-9.905898129E1,2.238141187E3,2.230605469E3,1.519999981E0,1.731000061E2,7.473074828E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.602824489E2,1.935967442E1,-9.905899394E1,2.235959078E3,2.228423340E3,0.000000000E0,NaN,7.476806118E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.612828112E2,1.935967574E1,-9.905899721E1,2.235954442E3,2.228418701E3,0.000000000E0,NaN,7.480148799E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.622828732E2,1.935967667E1,-9.905899418E1,2.236248380E3,2.228712646E3,4.099999964E-1,7.859999847E1,7.488663760E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.632829401E2,1.935967716E1,-9.905898608E1,2.236665355E3,2.229129639E3,8.000000119E-1,9.459999847E1,7.507870386E-1,3.790092468E0,2.500000000E0,4.200000000E1
3.642820474E2,1.935966260E1,-9.905897623E1,2.236954675E3,2.229418945E3,1.269999981E0,1.051999969E2,7.531421987E-1,3.790092468E0,2.500000000E0,4.200000000E1
3.652823935E2,1.935964219E1,-9.905897023E1,2.237870480E3,2.230334717E3,2.230000019E0,1.623999939E2,7.544641497E-1,3.790092468E0,2.500000000E0,4.200000000E1
3.662829104E2,1.935963748E1,-9.905895866E1,2.238214950E3,2.230679199E3,1.590000033E0,1.213000031E2,7.558329788E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.672825426E2,1.935964177E1,-9.905894643E1,2.238073071E3,2.230537354E3,1.330000043E0,9.750000000E1,7.571870665E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.682824131E2,1.935964419E1,-9.905893378E1,2.237871868E3,2.230336182E3,1.330000043E0,1.034000015E2,7.587381246E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.692821044E2,1.935964600E1,-9.905891912E1,2.237985849E3,2.230450195E3,1.470000029E0,1.009000015E2,7.601353997E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.702827771E2,1.935964811E1,-9.905890599E1,2.237554422E3,2.230018799E3,1.399999976E0,9.840000153E1,7.615353039E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.712820668E2,1.935964869E1,-9.905889266E1,2.237283887E3,2.229748291E3,1.299999952E0,1.085999985E2,7.629548291E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.722822335E2,1.935964886E1,-9.905887913E1,2.237718430E3,2.230182861E3,1.110000014E0,1.101999969E2,7.643459193E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.732825681E2,1.935964880E1,-9.905886587E1,2.237962056E3,2.230426514E3,1.240000010E0,9.709999847E1,7.656549063E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.742821050E2,1.935964526E1,-9.905885397E1,2.238192509E3,2.230656982E3,1.259999990E0,1.184000015E2,7.668754073E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.752826664E2,1.935964555E1,-9.905884234E1,2.238271343E3,2.230735840E3,1.139999986E0,1.014000015E2,7.673803026E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.762827461E2,1.935964142E1,-9.905884034E1,2.238332628E3,2.230797119E3,7.099999785E-1,1.723000031E2,7.681787995E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.772821455E2,1.935963545E1,-9.905883611E1,2.239294303E3,2.231758789E3,9.900000095E-1,1.505000000E2,7.690083328E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.782826175E2,1.935963577E1,-9.905882821E1,2.239920019E3,2.232384521E3,1.019999981E0,1.014000015E2,7.696210520E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.792822256E2,1.935963427E1,-9.905883383E1,2.239685658E3,2.232150146E3,0.000000000E0,NaN,7.709145478E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.802824849E2,1.935963361E1,-9.905882152E1,2.240734219E3,2.233198730E3,1.340000033E0,1.036999969E2,7.721882349E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.812828500E2,1.935963346E1,-9.905880938E1,2.241048405E3,2.233512939E3,1.139999986E0,1.014000015E2,7.736276015E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.822822017E2,1.935963337E1,-9.905879566E1,2.241055214E3,2.233519775E3,1.309999943E0,9.980000305E1,7.748697092E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.832826678E2,1.935963335E1,-9.905878382E1,2.240944107E3,2.233408691E3,1.309999943E0,1.066999969E2,7.760651635E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.842823447E2,1.935963176E1,-9.905877255E1,2.239998043E3,2.232462646E3,1.340000033E0,1.126999969E2,7.774288489E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.852820783E2,1.935962860E1,-9.905875999E1,2.239826150E3,2.232290771E3,1.610000014E0,1.155999985E2,7.790429439E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.862821450E2,1.935962690E1,-9.905874471E1,2.239839063E3,2.232303711E3,1.690000057E0,1.054000015E2,7.806428539E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.872828086E2,1.935962795E1,-9.905872950E1,2.239341717E3,2.231806396E3,1.590000033E0,9.619999695E1,7.824569967E-1,3.790092468E0,2.500000000E0,4.300000000E1
3.882827679E2,1.935963222E1,-9.905871281E1,2.239453491E3,2.231918213E3,1.720000029E0,8.380000305E1,7.843551307E-1,3.790092468E0,2.500000000E0,4.300000000E1
3.892830693E2,1.935963809E1,-9.905869582E1,2.239030592E3,2.231495361E3,1.730000019E0,8.600000000E1,7.860669863E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.902823652E2,1.935964134E1,-9.905867987E1,2.238787390E3,2.231252197E3,1.700000048E0,9.059999847E1,7.877958426E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.912826064E2,1.935964350E1,-9.905866355E1,2.238811767E3,2.231276611E3,1.679999948E0,9.359999847E1,7.895141411E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.922824144E2,1.935964644E1,-9.905864747E1,2.239076865E3,2.231541748E3,1.679999948E0,9.090000153E1,7.905559394E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.932828149E2,1.935964849E1,-9.905863778E1,2.238249937E3,2.230714844E3,1.240000010E0,9.230000305E1,7.912036219E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.942826873E2,1.935964974E1,-9.905863175E1,2.237732832E3,2.230197754E3,1.009999990E0,9.700000000E1,7.917526733E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.952829364E2,1.935965206E1,-9.905862713E1,2.237766754E3,2.230231689E3,7.699999809E-1,9.230000305E1,7.925020957E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.962828406E2,1.935965384E1,-9.905862024E1,2.237759656E3,2.230224609E3,8.799999952E-1,9.369999695E1,7.930574521E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.972820546E2,1.935965582E1,-9.905861538E1,2.238004515E3,2.230469482E3,5.400000215E-1,9.880000305E1,7.934826550E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.982825780E2,1.935965813E1,-9.905861215E1,2.238186877E3,2.230651855E3,3.199999928E-1,1.031999969E2,7.936842694E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.992828975E2,1.935965932E1,-9.905861070E1,2.238220074E3,2.230685059E3,0.000000000E0,NaN,7.939111434E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.002820310E2,1.935965954E1,-9.905860855E1,2.237762062E3,2.230227051E3,2.199999988E-1,1.159000015E2,7.942930189E-1,3.790092468E0,2.519861460E0,4.300000000E1
4.012828008E2,1.935965863E1,-9.905860504E1,2.237444186E3,2.229909180E3,3.199999928E-1,1.058000031E2,7.948574489E-1,3.790092468E0,2.581949949E0,4.300000000E1
4.022821578E2,1.935965868E1,-9.905859966E1,2.237121665E3,2.229586670E3,5.299999714E-1,9.259999847E1,7.959869229E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.032826821E2,1.935965812E1,-9.905858891E1,2.237131167E3,2.229596191E3,1.080000043E0,9.730000305E1,7.971298617E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.042821547E2,1.935965730E1,-9.905857805E1,2.237046430E3,2.229511475E3,9.800000191E-1,9.650000000E1,7.987900646E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.052826266E2,1.935965617E1,-9.905856227E1,2.236642593E3,2.229107666E3,1.620000005E0,9.650000000E1,8.005061181E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.062821509E2,1.935965305E1,-9.905854625E1,2.236883779E3,2.229348877E3,1.620000005E0,1.055999985E2,8.022608175E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.072826105E2,1.935964821E1,-9.905853033E1,2.237010956E3,2.229476074E3,1.610000014E0,1.120000000E2,8.040765743E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.082821129E2,1.935964299E1,-9.905851393E1,2.236898631E3,2.229363770E3,1.600000024E0,1.140999985E2,8.060466778E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.092822019E2,1.935963810E1,-9.905849588E1,2.236846604E3,2.229311768E3,1.779999971E0,1.131999969E2,8.079296695E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.102824633E2,1.935963199E1,-9.905847914E1,2.237327298E3,2.229792480E3,1.799999952E0,1.150000000E2,8.100659520E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.112821934E2,1.935962077E1,-9.905846261E1,2.237866353E3,2.230331543E3,2.069999933E0,1.225999985E2,8.119991790E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.122826121E2,1.935960769E1,-9.905845047E1,2.237314356E3,2.229779541E3,1.809999943E0,1.341000061E2,8.141162679E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.132824688E2,1.935959040E1,-9.905844202E1,2.237077806E3,2.229542969E3,1.929999948E0,1.550000000E2,8.156492838E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.142829028E2,1.935957695E1,-9.905843881E1,2.237518015E3,2.229983154E3,1.269999981E0,1.663000031E2,8.172539926E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.152829004E2,1.935956252E1,-9.905843859E1,2.237571514E3,2.230036621E3,1.330000043E0,1.756999969E2,8.189169960E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.162826262E2,1.935954784E1,-9.905844162E1,2.237335957E3,2.229801025E3,1.419999957E0,1.878000031E2,8.202823866E-1,3.790092468E0,2.626364470E0,4.500000000E1
4.172829103E2,1.935953676E1,-9.905844723E1,2.237362848E3,2.229827881E3,1.120000005E0,1.980000000E2,8.204699374E-1,3.790092468E0,3.125648737E0,4.500000000E1
4.182821754E2,1.935953630E1,-9.905844895E1,2.237534728E3,2.229999756E3,2.000000030E-1,1.853999939E2,8.220050780E-1,3.790092468E0,2.938865900E0,4.500000000E1
4.192828003E2,1.935952513E1,-9.905844035E1,2.238150214E3,2.230615234E3,1.789999962E0,1.406000061E2,8.237000040E-1,3.790092468E0,2.942877293E0,4.500000000E1
4.202825600E2,1.935951409E1,-9.905842921E1,2.238448557E3,2.230913574E3,1.610000014E0,1.358999939E2,8.250888338E-1,3.790092468E0,2.961997747E0,4.500000000E1
4.212825837E2,1.935950652E1,-9.905841868E1,2.238520819E3,2.230985840E3,1.440000057E0,1.333000031E2,8.265322241E-1,3.790092468E0,2.673697472E0,4.500000000E1
4.222826085E2,1.935949994E1,-9.905840682E1,2.238983212E3,2.231448242E3,1.370000005E0,1.263000031E2,8.284871575E-1,3.790092468E0,2.537408590E0,4.500000000E1
4.232822498E2,1.935948989E1,-9.905839153E1,2.239226369E3,2.231691406E3,1.870000005E0,1.280000000E2,8.300278704E-1,3.790092468E0,2.538140535E0,4.500000000E1
4.242821616E2,1.935947897E1,-9.905838249E1,2.238411678E3,2.230876709E3,1.409999967E0,1.448999939E2,8.316001629E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.252828472E2,1.935946622E1,-9.905837601E1,2.238305004E3,2.230770020E3,1.389999986E0,1.491999969E2,8.332037897E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.262823743E2,1.935945414E1,-9.905836766E1,2.238483726E3,2.230948730E3,1.399999976E0,1.453000031E2,8.345922049E-1,3.790092468E0,2.541814566E0,4.400000000E1
4.272821522E2,1.935944579E1,-9.905835782E1,2.239783774E3,2.232248779E3,1.250000000E0,1.350000000E2,8.354329150E-1,3.790092468E0,2.518493891E0,4.400000000E1
4.282828431E2,1.935944030E1,-9.905835231E1,2.239173912E3,2.231638916E3,6.899999976E-1,1.426000061E2,8.362671962E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.292823625E2,1.935943280E1,-9.905835253E1,2.239077005E3,2.231541992E3,7.699999809E-1,1.816999969E2,8.371678861E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.302829125E2,1.935942811E1,-9.905835953E1,2.239229373E3,2.231694336E3,8.199999928E-1,2.353000031E2,8.379566557E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.312826121E2,1.935942861E1,-9.905836703E1,2.239531389E3,2.231996338E3,5.299999714E-1,2.666000061E2,8.390753455E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.322826183E2,1.935942887E1,-9.905837769E1,2.239172767E3,2.231637695E3,9.499999881E-1,2.652000122E2,8.401864745E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.332824869E2,1.935942810E1,-9.905838825E1,2.239543395E3,2.232008301E3,8.799999952E-1,2.582999878E2,8.413005993E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.342830404E2,1.935942813E1,-9.905839887E1,2.240091023E3,2.232555908E3,8.299999833E-1,2.685000000E2,8.421847008E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.352826164E2,1.935942956E1,-9.905840716E1,2.240246798E3,2.232711670E3,6.700000167E-1,2.776000061E2,8.429298630E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.362823975E2,1.935943283E1,-9.905841336E1,2.240467262E3,2.232932129E3,5.799999833E-1,2.872999878E2,8.437219363E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.372826523E2,1.935943647E1,-9.905841985E1,2.240359845E3,2.232824707E3,5.899999738E-1,2.943999939E2,8.446749047E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.382822814E2,1.935944075E1,-9.905842772E1,2.240434070E3,2.232898926E3,7.400000095E-1,2.933999939E2,8.460130479E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.392827798E2,1.935944376E1,-9.905844007E1,2.240676031E3,2.233140869E3,1.179999948E0,2.826000061E2,8.462149098E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.402819587E2,1.935944196E1,-9.905844032E1,2.240426523E3,2.232891357E3,0.000000000E0,NaN,8.477747968E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.412822088E2,1.935945110E1,-9.905845160E1,2.240463146E3,2.232927979E3,1.960000038E0,3.130000000E2,8.486723315E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.422824011E2,1.935945477E1,-9.905845922E1,2.240844989E3,2.233309814E3,7.099999785E-1,3.020000000E2,8.497989275E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.432825252E2,1.935945656E1,-9.905846979E1,2.240389684E3,2.232854492E3,1.289999962E0,2.891000061E2,8.500240520E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.442827328E2,1.935945793E1,-9.905847137E1,2.240704869E3,2.233169678E3,2.000000030E-1,2.912000122E2,8.503517339E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.452829818E2,1.935945807E1,-9.905846825E1,2.240666777E3,2.233131592E3,0.000000000E0,NaN,8.522264076E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.462825573E2,1.935946199E1,-9.905848563E1,2.240640435E3,2.233105225E3,2.160000086E0,2.872000122E2,8.529725789E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.472828592E2,1.935946301E1,-9.905849266E1,2.241192449E3,2.233657227E3,6.200000048E-1,2.853999939E2,8.532853303E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.482820347E2,1.935946309E1,-9.905849564E1,2.241319896E3,2.233784668E3,6.000000238E-1,2.802999878E2,8.535552589E-1,3.790092468E0,2.500000000E0,4.300000000E1
4.492827380E2,1.935946241E1,-9.905849811E1,2.241728593E3,2.234193359E3,4.699999988E-1,2.796000061E2,8.537912708E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.502823054E2,1.935946142E1,-9.905850010E1,2.241763512E3,2.234228271E3,4.099999964E-1,2.717999878E2,8.552371858E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.512829579E2,1.935945858E1,-9.905851355E1,2.242700312E3,2.235165039E3,1.659999967E0,2.625000000E2,8.557734589E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.522820066E2,1.935945845E1,-9.905851866E1,2.242790655E3,2.235255371E3,5.799999833E-1,2.807000122E2,8.563706160E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.532828075E2,1.935946346E1,-9.905852071E1,2.242981810E3,2.235446533E3,6.700000167E-1,3.091000061E2,8.572084414E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.542819922E2,1.935947082E1,-9.905851900E1,2.242420022E3,2.234884766E3,5.699999928E-1,3.291000061E2,8.582576535E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.552825825E2,1.935947946E1,-9.905851498E1,2.242459790E3,2.234924561E3,6.800000072E-1,3.558999939E2,8.595031880E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.562822674E2,1.935948879E1,-9.905850841E1,2.242366738E3,2.234831543E3,8.700000048E-1,1.700000000E1,8.610577548E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.572828547E2,1.935949707E1,-9.905849647E1,2.242181638E3,2.234646484E3,1.070000052E0,5.370000076E1,8.625658056E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.582823026E2,1.935949787E1,-9.905848212E1,2.242357145E3,2.234822021E3,1.049999952E0,8.959999847E1,8.641599555E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.592828401E2,1.935949212E1,-9.905846820E1,2.242503859E3,2.234968750E3,1.080000043E0,1.081999969E2,8.655932386E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.602826575E2,1.935948522E1,-9.905845666E1,2.242663519E3,2.235128418E3,9.800000191E-1,1.059000015E2,8.666506253E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.612829849E2,1.935948023E1,-9.905844808E1,2.242852723E3,2.235317627E3,6.200000048E-1,1.055000000E2,8.672724885E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.622823453E2,1.935947758E1,-9.905844286E1,2.242817074E3,2.235281982E3,3.400000036E-1,1.074000015E2,8.689950807E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.632828583E2,1.935947172E1,-9.905842766E1,2.243965494E3,2.236430420E3,1.629999995E0,1.071999969E2,8.708418328E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.642825597E2,1.935946682E1,-9.905841084E1,2.244321673E3,2.236786621E3,1.490000010E0,1.005000000E2,8.714282275E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.652824716E2,1.935946462E1,-9.905840576E1,2.243881238E3,2.236346191E3,4.199999869E-1,8.709999847E1,8.717409210E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.662825949E2,1.935946337E1,-9.905840309E1,2.244023814E3,2.236488770E3,6.100000143E-1,9.340000153E1,8.722078109E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.672827725E2,1.935946151E1,-9.905839910E1,2.244098762E3,2.236563721E3,6.399999857E-1,1.013000031E2,8.732647862E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.682824991E2,1.935945743E1,-9.905839000E1,2.244177122E3,2.236642090E3,1.330000043E0,1.129000015E2,8.742047189E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.692828672E2,1.935945346E1,-9.905838209E1,2.244397086E3,2.236862061E3,1.080000043E0,1.174000015E2,8.748100607E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.702829697E2,1.935945211E1,-9.905837650E1,2.244569441E3,2.237034424E3,7.500000000E-1,1.080999985E2,8.757045387E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.712824599E2,1.935945180E1,-9.905836798E1,2.245434904E3,2.237899902E3,1.080000043E0,1.021999969E2,8.762253693E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.722821414E2,1.935945296E1,-9.905836317E1,2.245261307E3,2.237726318E3,5.099999905E-1,9.930000305E1,8.766236708E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.732821448E2,1.935945352E1,-9.905835942E1,2.245113594E3,2.237578613E3,6.399999857E-1,1.006999969E2,8.776149003E-1,3.790092468E0,2.500000000E0,4.500000000E1
